"Date","Site","Depth","NH4_interp","NO3NO2_interp","SRP_interp","NO3NO2inf_interp","NH4inf_interp","SRPinf_interp"
2013-07-11,50,6.2,78,22,0,31,11,10
2013-07-11,50,8,176,27,3,31,11,10
2013-07-11,50,9,NA,NA,NA,NA,NA,NA
2013-07-11,50,9.3,NA,NA,NA,NA,NA,NA
2013-07-15,50,0.1,21.75,15.75,4.5,37.75,11.5,10.5
2013-07-15,50,0.8,3.75,4.25,18,37.75,11.5,10.5
2013-07-15,50,1.6,2.5,4.75,4.5,37.75,11.5,10.5
2013-07-15,50,2.8,6.75,5.25,2.75,37.75,11.5,10.5
2013-07-15,50,3.8,29.75,10.75,4.25,37.75,11.5,10.5
2013-07-15,50,5,67.75,20.75,6.25,37.75,11.5,10.5
2013-07-15,50,5.2,NA,NA,NA,NA,NA,NA
2013-07-15,50,5.5,NA,NA,NA,NA,NA,NA
2013-07-15,50,5.8,NA,NA,NA,NA,NA,NA
2013-07-15,50,6,NA,NA,NA,NA,NA,NA
2013-07-15,50,6.2,97.5,21.5,0.75,37.75,11.5,10.5
2013-07-15,50,8,139.5,24,4.75,37.75,11.5,10.5
2013-07-15,50,9,NA,NA,NA,NA,NA,NA
2013-07-15,50,9.3,NA,NA,NA,NA,NA,NA
2013-07-18,50,0.1,18.5,13.5,5,44.5,12,11
2013-07-18,50,0.8,4.5,4.5,14,44.5,12,11
2013-07-18,50,1.6,3,5.5,5,44.5,12,11
2013-07-18,50,2.8,9.5,7.5,2.5,44.5,12,11
2013-07-18,50,3.8,50.5,12.5,4.5,44.5,12,11
2013-07-18,50,5,51.5,20.5,9.5,44.5,12,11
2013-07-18,50,5.2,NA,NA,NA,NA,NA,NA
2013-07-18,50,5.5,NA,NA,NA,NA,NA,NA
2013-07-18,50,5.8,NA,NA,NA,NA,NA,NA
2013-07-18,50,6,NA,NA,NA,NA,NA,NA
2013-07-18,50,6.2,117,21,1.5,44.5,12,11
2013-07-18,50,8,103,21,6.5,44.5,12,11
2013-07-18,50,9,NA,NA,NA,NA,NA,NA
2013-07-18,50,9.3,NA,NA,NA,NA,NA,NA
2013-07-22,50,0.1,15.25,11.25,5.5,51.25,12.5,11.5
2013-07-22,50,0.8,5.25,4.75,10,51.25,12.5,11.5
2013-07-22,50,1.6,3.5,6.25,5.5,51.25,12.5,11.5
2013-07-22,50,2.8,12.25,9.75,2.25,51.25,12.5,11.5
2013-07-22,50,3.8,71.25,14.25,4.75,51.25,12.5,11.5
2013-07-22,50,5,35.25,20.25,12.75,51.25,12.5,11.5
2013-07-22,50,5.2,NA,NA,NA,NA,NA,NA
2013-07-22,50,5.5,NA,NA,NA,NA,NA,NA
2013-07-22,50,5.8,NA,NA,NA,NA,NA,NA
2013-07-22,50,6,NA,NA,NA,NA,NA,NA
2013-07-22,50,6.2,136.5,20.5,2.25,51.25,12.5,11.5
2013-07-22,50,8,66.5,18,8.25,51.25,12.5,11.5
2013-07-22,50,9,NA,NA,NA,NA,NA,NA
2013-07-22,50,9.3,NA,NA,NA,NA,NA,NA
2013-07-25,50,0.1,12,9,6,58,13,12
2013-07-25,50,0.8,6,5,6,58,13,12
2013-07-25,50,1.6,4,7,6,58,13,12
2013-07-25,50,2.8,15,12,2,58,13,12
2013-07-25,50,3.8,92,16,5,58,13,12
2013-07-25,50,5,19,20,16,58,13,12
2013-07-25,50,5.2,NA,NA,NA,NA,NA,NA
2013-07-25,50,5.5,NA,NA,NA,NA,NA,NA
2013-07-25,50,5.8,NA,NA,NA,NA,NA,NA
2013-07-25,50,6,NA,NA,NA,NA,NA,NA
2013-07-25,50,6.2,156,20,3,58,13,12
2013-07-25,50,8,30,15,10,58,13,12
2013-07-25,50,9,NA,NA,NA,NA,NA,NA
2013-07-25,50,9.3,NA,NA,NA,NA,NA,NA
2013-07-29,50,0.1,3,6,3,66,0,13
2013-07-29,50,0.8,7,4,3,66,0,13
2013-07-29,50,1.6,3,4,4,66,0,13
2013-07-29,50,2.8,3,4,4,66,0,13
2013-07-29,50,3.8,7,6,4,66,0,13
2013-07-29,50,5,14,6,0,66,0,13
2013-07-29,50,5.2,NA,NA,NA,NA,NA,NA
2013-07-29,50,5.5,NA,NA,NA,NA,NA,NA
2013-07-29,50,5.8,NA,NA,NA,NA,NA,NA
2013-07-29,50,6,NA,NA,NA,NA,NA,NA
2013-07-29,50,6.2,54,14,3,66,0,13
2013-07-29,50,8,158,26,4,66,0,13
2013-07-29,50,9,NA,NA,NA,NA,NA,NA
2013-07-29,50,9.3,NA,NA,NA,NA,NA,NA
2013-08-01,50,0.1,5,4,4,56,7,13
2013-08-01,50,0.8,60,0,4,56,7,13
2013-08-01,50,1.6,7,4,4,56,7,13
2013-08-01,50,2.8,4,5,3,56,7,13
2013-08-01,50,3.8,255,14,4,56,7,13
2013-08-01,50,5,107,16,3,56,7,13
2013-08-01,50,5.2,NA,NA,NA,NA,NA,NA
2013-08-01,50,5.5,NA,NA,NA,NA,NA,NA
2013-08-01,50,5.8,NA,NA,NA,NA,NA,NA
2013-08-01,50,6,NA,NA,NA,NA,NA,NA
2013-08-01,50,6.2,496,9,3,56,7,13
2013-08-01,50,8,919,11,4,56,7,13
2013-08-01,50,9,NA,NA,NA,NA,NA,NA
2013-08-01,50,9.3,NA,NA,NA,NA,NA,NA
2013-08-08,50,0.1,17,10,4,66,7,16
2013-08-08,50,0.8,10,5,4,66,7,16
2013-08-08,50,1.6,6,5,4,66,7,16
2013-08-08,50,2.8,4,2,4,66,7,16
2013-08-08,50,3.8,100,10,4,66,7,16
2013-08-08,50,5,113,10,3,66,7,16
2013-08-08,50,5.2,NA,NA,NA,NA,NA,NA
2013-08-08,50,5.5,NA,NA,NA,NA,NA,NA
2013-08-08,50,5.8,NA,NA,NA,NA,NA,NA
2013-08-08,50,6,NA,NA,NA,NA,NA,NA
2013-08-08,50,6.2,73,9,3,66,7,16
2013-08-08,50,8,105,8,4,66,7,16
2013-08-08,50,9,NA,NA,NA,NA,NA,NA
2013-08-08,50,9.3,NA,NA,NA,NA,NA,NA
2013-08-12,50,0.1,7,4,3,59.1428571428571,7,15.1428571428571
2013-08-12,50,0.8,3,2,4,59.1428571428571,7,15.1428571428571
2013-08-12,50,1.6,3,2,5,59.1428571428571,7,15.1428571428571
2013-08-12,50,2.8,3,1,4,59.1428571428571,7,15.1428571428571
2013-08-12,50,3.8,4,5,3,59.1428571428571,7,15.1428571428571
2013-08-12,50,5,74,6,3,59.1428571428571,7,15.1428571428571
2013-08-12,50,5.2,NA,NA,NA,NA,NA,NA
2013-08-12,50,5.5,NA,NA,NA,NA,NA,NA
2013-08-12,50,5.8,NA,NA,NA,NA,NA,NA
2013-08-12,50,6,NA,NA,NA,NA,NA,NA
2013-08-12,50,6.2,121,8,4,59.1428571428571,7,15.1428571428571
2013-08-12,50,8,129,10,3,59.1428571428571,7,15.1428571428571
2013-08-12,50,9,NA,NA,NA,NA,NA,NA
2013-08-12,50,9.3,NA,NA,NA,NA,NA,NA
2013-08-18,50,0.1,6.83333333333333,4.33333333333333,3.16666666666667,52.2857142857143,7,14.2857142857143
2013-08-18,50,0.8,6,2.66666666666667,4.33333333333333,52.2857142857143,7,14.2857142857143
2013-08-18,50,1.6,7,3.66666666666667,4.66666666666667,52.2857142857143,7,14.2857142857143
2013-08-18,50,2.8,4.33333333333333,2,4,52.2857142857143,7,14.2857142857143
2013-08-18,50,3.8,4.16666666666667,5,2.66666666666667,52.2857142857143,7,14.2857142857143
2013-08-18,50,5,106.666666666667,7.33333333333333,3.33333333333333,52.2857142857143,7,14.2857142857143
2013-08-18,50,5.2,NA,NA,NA,NA,NA,NA
2013-08-18,50,5.5,NA,NA,NA,NA,NA,NA
2013-08-18,50,5.8,NA,NA,NA,NA,NA,NA
2013-08-18,50,6,NA,NA,NA,NA,NA,NA
2013-08-18,50,6.2,160,9.66666666666667,4,52.2857142857143,7,14.2857142857143
2013-08-18,50,8,153,10,2.33333333333333,52.2857142857143,7,14.2857142857143
2013-08-18,50,9,NA,NA,NA,NA,NA,NA
2013-08-18,50,9.3,NA,NA,NA,NA,NA,NA
2013-08-23,50,0.1,6.66666666666667,4.66666666666667,3.33333333333333,45.4285714285714,7,13.4285714285714
2013-08-23,50,0.8,9,3.33333333333333,4.66666666666667,45.4285714285714,7,13.4285714285714
2013-08-23,50,1.6,11,5.33333333333333,4.33333333333333,45.4285714285714,7,13.4285714285714
2013-08-23,50,2.8,5.66666666666667,3,4,45.4285714285714,7,13.4285714285714
2013-08-23,50,3.8,4.33333333333333,5,2.33333333333333,45.4285714285714,7,13.4285714285714
2013-08-23,50,5,139.333333333333,8.66666666666667,3.66666666666667,45.4285714285714,7,13.4285714285714
2013-08-23,50,5.2,NA,NA,NA,NA,NA,NA
2013-08-23,50,5.5,NA,NA,NA,NA,NA,NA
2013-08-23,50,5.8,NA,NA,NA,NA,NA,NA
2013-08-23,50,6,NA,NA,NA,NA,NA,NA
2013-08-23,50,6.2,199,11.3333333333333,4,45.4285714285714,7,13.4285714285714
2013-08-23,50,8,177,10,1.66666666666667,45.4285714285714,7,13.4285714285714
2013-08-23,50,9,NA,NA,NA,NA,NA,NA
2013-08-23,50,9.3,NA,NA,NA,NA,NA,NA
2013-08-28,50,0.1,6.5,5,3.5,38.5714285714286,7,12.5714285714286
2013-08-28,50,0.8,12,4,5,38.5714285714286,7,12.5714285714286
2013-08-28,50,1.6,15,7,4,38.5714285714286,7,12.5714285714286
2013-08-28,50,2.8,7,4,4,38.5714285714286,7,12.5714285714286
2013-08-28,50,3.8,4.5,5,2,38.5714285714286,7,12.5714285714286
2013-08-28,50,5,172,10,4,38.5714285714286,7,12.5714285714286
2013-08-28,50,5.2,NA,NA,NA,NA,NA,NA
2013-08-28,50,5.5,NA,NA,NA,NA,NA,NA
2013-08-28,50,5.8,NA,NA,NA,NA,NA,NA
2013-08-28,50,6,NA,NA,NA,NA,NA,NA
2013-08-28,50,6.2,238,13,4,38.5714285714286,7,12.5714285714286
2013-08-28,50,8,201,10,1,38.5714285714286,7,12.5714285714286
2013-08-28,50,9,NA,NA,NA,NA,NA,NA
2013-08-28,50,9.3,NA,NA,NA,NA,NA,NA
2013-09-06,50,0.1,6.33333333333333,5.33333333333333,3.66666666666667,31.7142857142857,7,11.7142857142857
2013-09-06,50,0.8,10.3333333333333,3.33333333333333,4.33333333333333,31.7142857142857,7,11.7142857142857
2013-09-06,50,1.6,11.3333333333333,5.66666666666667,4,31.7142857142857,7,11.7142857142857
2013-09-06,50,2.8,5.66666666666667,3.33333333333333,3.66666666666667,31.7142857142857,7,11.7142857142857
2013-09-06,50,3.8,4.66666666666667,5,1.66666666666667,31.7142857142857,7,11.7142857142857
2013-09-06,50,5,158.333333333333,11.3333333333333,4,31.7142857142857,7,11.7142857142857
2013-09-06,50,5.2,NA,NA,NA,NA,NA,NA
2013-09-06,50,5.5,NA,NA,NA,NA,NA,NA
2013-09-06,50,5.8,NA,NA,NA,NA,NA,NA
2013-09-06,50,6,NA,NA,NA,NA,NA,NA
2013-09-06,50,6.2,229,14.6666666666667,4,31.7142857142857,7,11.7142857142857
2013-09-06,50,8,207.333333333333,12,2,31.7142857142857,7,11.7142857142857
2013-09-06,50,9,NA,NA,NA,NA,NA,NA
2013-09-06,50,9.3,NA,NA,NA,NA,NA,NA
2013-09-13,50,0.1,6.16666666666667,5.66666666666667,3.83333333333333,24.8571428571429,7,10.8571428571429
2013-09-13,50,0.8,8.66666666666667,2.66666666666667,3.66666666666667,24.8571428571429,7,10.8571428571429
2013-09-13,50,1.6,7.66666666666667,4.33333333333333,4,24.8571428571429,7,10.8571428571429
2013-09-13,50,2.8,4.33333333333333,2.66666666666667,3.33333333333333,24.8571428571429,7,10.8571428571429
2013-09-13,50,3.8,4.83333333333333,5,1.33333333333333,24.8571428571429,7,10.8571428571429
2013-09-13,50,5,144.666666666667,12.6666666666667,4,24.8571428571429,7,10.8571428571429
2013-09-13,50,5.2,NA,NA,NA,NA,NA,NA
2013-09-13,50,5.5,NA,NA,NA,NA,NA,NA
2013-09-13,50,5.8,NA,NA,NA,NA,NA,NA
2013-09-13,50,6,NA,NA,NA,NA,NA,NA
2013-09-13,50,6.2,220,16.3333333333333,4,24.8571428571429,7,10.8571428571429
2013-09-13,50,8,213.666666666667,14,3,24.8571428571429,7,10.8571428571429
2013-09-13,50,9,NA,NA,NA,NA,NA,NA
2013-09-13,50,9.3,NA,NA,NA,NA,NA,NA
2013-09-18,50,0.1,6,6,4,18,7,10
2013-09-18,50,0.8,7,2,3,18,7,10
2013-09-18,50,1.6,4,3,4,18,7,10
2013-09-18,50,2.8,3,2,3,18,7,10
2013-09-18,50,3.8,5,5,1,18,7,10
2013-09-18,50,5,131,14,4,18,7,10
2013-09-18,50,5.2,NA,NA,NA,NA,NA,NA
2013-09-18,50,5.5,NA,NA,NA,NA,NA,NA
2013-09-18,50,5.8,NA,NA,NA,NA,NA,NA
2013-09-18,50,6,NA,NA,NA,NA,NA,NA
2013-09-18,50,6.2,211,18,4,18,7,10
2013-09-18,50,8,220,16,4,18,7,10
2013-09-18,50,9,NA,NA,NA,NA,NA,NA
2013-09-18,50,9.3,NA,NA,NA,NA,NA,NA
2013-09-25,50,0.1,13,4,5,14.5,7.25,9.75
2013-09-25,50,0.8,8,4,4,14.5,7.25,9.75
2013-09-25,50,1.6,7,4,5,14.5,7.25,9.75
2013-09-25,50,2.8,8,3,5,14.5,7.25,9.75
2013-09-25,50,3.8,7,6,6,14.5,7.25,9.75
2013-09-25,50,5,137,14,4,14.5,7.25,9.75
2013-09-25,50,5.2,NA,NA,NA,NA,NA,NA
2013-09-25,50,5.5,NA,NA,NA,NA,NA,NA
2013-09-25,50,5.8,NA,NA,NA,NA,NA,NA
2013-09-25,50,6,NA,NA,NA,NA,NA,NA
2013-09-25,50,6.2,276,19,5,14.5,7.25,9.75
2013-09-25,50,8,282,18,0,14.5,7.25,9.75
2013-09-25,50,9,NA,NA,NA,NA,NA,NA
2013-09-25,50,9.3,NA,NA,NA,NA,NA,NA
2013-10-04,50,0.1,12,4,5,11,7.5,9.5
2013-10-04,50,0.8,8.66666666666667,4.66666666666667,4.33333333333333,11,7.5,9.5
2013-10-04,50,1.6,7.66666666666667,4,3.66666666666667,11,7.5,9.5
2013-10-04,50,2.8,11,4,3.66666666666667,11,7.5,9.5
2013-10-04,50,3.8,8.33333333333333,5.66666666666667,5.66666666666667,11,7.5,9.5
2013-10-04,50,5,122.333333333333,14,4.33333333333333,11,7.5,9.5
2013-10-04,50,5.2,NA,NA,NA,NA,NA,NA
2013-10-04,50,5.5,NA,NA,NA,NA,NA,NA
2013-10-04,50,5.8,NA,NA,NA,NA,NA,NA
2013-10-04,50,6,NA,NA,NA,NA,NA,NA
2013-10-04,50,6.2,330,24.6666666666667,5.33333333333333,11,7.5,9.5
2013-10-04,50,8,355.333333333333,22,1.66666666666667,11,7.5,9.5
2013-10-04,50,9,NA,NA,NA,NA,NA,NA
2013-10-04,50,9.3,NA,NA,NA,NA,NA,NA
2013-10-11,50,0.1,11,4,5,7.5,7.75,9.25
2013-10-11,50,0.8,9.33333333333333,5.33333333333333,4.66666666666667,7.5,7.75,9.25
2013-10-11,50,1.6,8.33333333333333,4,2.33333333333333,7.5,7.75,9.25
2013-10-11,50,2.8,14,5,2.33333333333333,7.5,7.75,9.25
2013-10-11,50,3.8,9.66666666666667,5.33333333333333,5.33333333333333,7.5,7.75,9.25
2013-10-11,50,5,107.666666666667,14,4.66666666666667,7.5,7.75,9.25
2013-10-11,50,5.2,NA,NA,NA,NA,NA,NA
2013-10-11,50,5.5,NA,NA,NA,NA,NA,NA
2013-10-11,50,5.8,NA,NA,NA,NA,NA,NA
2013-10-11,50,6,NA,NA,NA,NA,NA,NA
2013-10-11,50,6.2,384,30.3333333333333,5.66666666666667,7.5,7.75,9.25
2013-10-11,50,8,428.666666666667,26,3.33333333333333,7.5,7.75,9.25
2013-10-11,50,9,NA,NA,NA,NA,NA,NA
2013-10-11,50,9.3,NA,NA,NA,NA,NA,NA
2013-10-16,50,0.1,10,4,5,4,8,9
2013-10-16,50,0.8,10,6,5,4,8,9
2013-10-16,50,1.6,9,4,1,4,8,9
2013-10-16,50,2.8,17,6,1,4,8,9
2013-10-16,50,3.8,11,5,5,4,8,9
2013-10-16,50,5,93,14,5,4,8,9
2013-10-16,50,5.2,NA,NA,NA,NA,NA,NA
2013-10-16,50,5.5,NA,NA,NA,NA,NA,NA
2013-10-16,50,5.8,NA,NA,NA,NA,NA,NA
2013-10-16,50,6,NA,NA,NA,NA,NA,NA
2013-10-16,50,6.2,438,36,6,4,8,9
2013-10-16,50,8,502,30,5,4,8,9
2013-10-16,50,9,NA,NA,NA,NA,NA,NA
2013-10-16,50,9.3,NA,NA,NA,NA,NA,NA
2013-10-23,50,0.1,8,5,5,4,9,9
2013-10-23,50,0.8,6,4,5,4,9,9
2013-10-23,50,1.6,8,4,5,4,9,9
2013-10-23,50,2.8,6,0,5,4,9,9
2013-10-23,50,3.8,11,6,6,4,9,9
2013-10-23,50,5,89,9,6,4,9,9
2013-10-23,50,5.2,NA,NA,NA,NA,NA,NA
2013-10-23,50,5.5,NA,NA,NA,NA,NA,NA
2013-10-23,50,5.8,NA,NA,NA,NA,NA,NA
2013-10-23,50,6,NA,NA,NA,NA,NA,NA
2013-10-23,50,6.2,462,32,7,4,9,9
2013-10-23,50,8,486,40,5,4,9,9
2013-10-23,50,9,NA,NA,NA,NA,NA,NA
2013-10-23,50,9.3,NA,NA,NA,NA,NA,NA
2013-10-30,50,0.1,20,7,4,8,14,16
2013-10-30,50,0.8,23,7,5,8,14,16
2013-10-30,50,1.6,31,8,4,8,14,16
2013-10-30,50,2.8,40,9,4,8,14,16
2013-10-30,50,3.8,43,9,5,8,14,16
2013-10-30,50,5,54,8,6,8,14,16
2013-10-30,50,5.2,NA,NA,NA,NA,NA,NA
2013-10-30,50,5.5,NA,NA,NA,NA,NA,NA
2013-10-30,50,5.8,NA,NA,NA,NA,NA,NA
2013-10-30,50,6,NA,NA,NA,NA,NA,NA
2013-10-30,50,6.2,54,9,6,8,14,16
2013-10-30,50,8,56,11,5,8,14,16
2013-10-30,50,9,NA,NA,NA,NA,NA,NA
2013-10-30,50,9.3,NA,NA,NA,NA,NA,NA
2013-11-06,50,0.1,47,10,4,11,8,10
2013-11-06,50,0.8,43,10,4,11,8,10
2013-11-06,50,1.6,45,12,4,11,8,10
2013-11-06,50,2.8,48,61,4,11,8,10
2013-11-06,50,3.8,44,13,5,11,8,10
2013-11-06,50,5,45,14,5,11,8,10
2013-11-06,50,5.2,NA,NA,NA,NA,NA,NA
2013-11-06,50,5.5,NA,NA,NA,NA,NA,NA
2013-11-06,50,5.8,NA,NA,NA,NA,NA,NA
2013-11-06,50,6,NA,NA,NA,NA,NA,NA
2013-11-06,50,6.2,45,13,4,11,8,10
2013-11-06,50,8,42,13,3,11,8,10
2013-11-06,50,9,NA,NA,NA,NA,NA,NA
2013-11-06,50,9.3,NA,NA,NA,NA,NA,NA
2013-11-20,50,0.1,32,16,5,11.6666666666667,10.3333333333333,7.33333333333333
2013-11-20,50,0.8,27,14,6,11.6666666666667,10.3333333333333,7.33333333333333
2013-11-20,50,1.6,27,16,5,11.6666666666667,10.3333333333333,7.33333333333333
2013-11-20,50,2.8,31,15,4,11.6666666666667,10.3333333333333,7.33333333333333
2013-11-20,50,3.8,29,17,4,11.6666666666667,10.3333333333333,7.33333333333333
2013-11-20,50,5,27,15,1,11.6666666666667,10.3333333333333,7.33333333333333
2013-11-20,50,5.2,NA,NA,NA,NA,NA,NA
2013-11-20,50,5.5,NA,NA,NA,NA,NA,NA
2013-11-20,50,5.8,NA,NA,NA,NA,NA,NA
2013-11-20,50,6,NA,NA,NA,NA,NA,NA
2013-11-20,50,6.2,27,18,5,11.6666666666667,10.3333333333333,7.33333333333333
2013-11-20,50,8,31,15,6,11.6666666666667,10.3333333333333,7.33333333333333
2013-11-20,50,9,NA,NA,NA,NA,NA,NA
2013-11-20,50,9.3,NA,NA,NA,NA,NA,NA
2013-12-04,50,0.1,24,4,4,12.3333333333333,12.6666666666667,4.66666666666667
2013-12-04,50,0.8,7,2,4,12.3333333333333,12.6666666666667,4.66666666666667
2013-12-04,50,1.6,7,3,2,12.3333333333333,12.6666666666667,4.66666666666667
2013-12-04,50,2.8,7,2,2,12.3333333333333,12.6666666666667,4.66666666666667
2013-12-04,50,3.8,9,1,2,12.3333333333333,12.6666666666667,4.66666666666667
2013-12-04,50,5,8,1,3,12.3333333333333,12.6666666666667,4.66666666666667
2013-12-04,50,5.2,NA,NA,NA,NA,NA,NA
2013-12-04,50,5.5,NA,NA,NA,NA,NA,NA
2013-12-04,50,5.8,NA,NA,NA,NA,NA,NA
2013-12-04,50,6,NA,NA,NA,NA,NA,NA
2013-12-04,50,6.2,10,2,5,12.3333333333333,12.6666666666667,4.66666666666667
2013-12-04,50,8,0,1,3,12.3333333333333,12.6666666666667,4.66666666666667
2013-12-04,50,9,NA,NA,NA,NA,NA,NA
2013-12-04,50,9.3,NA,NA,NA,NA,NA,NA
2014-05-05,50,0.1,19,6,3,13,15,2
2014-05-05,50,0.8,10,2,3,13,15,2
2014-05-05,50,1.6,7,0,2,13,15,2
2014-05-05,50,2.8,11,1,3,13,15,2
2014-05-05,50,3.8,6,1,2,13,15,2
2014-05-05,50,5,10,2,4,13,15,2
2014-05-05,50,5.2,NA,NA,NA,NA,NA,NA
2014-05-05,50,5.5,NA,NA,NA,NA,NA,NA
2014-05-05,50,5.8,NA,NA,NA,NA,NA,NA
2014-05-05,50,6,NA,NA,NA,NA,NA,NA
2014-05-05,50,6.2,18,2,3,13,15,2
2014-05-05,50,8,20,3,2,13,15,2
2014-05-05,50,9,20,3,2,13,15,2
2014-05-05,50,9.3,NA,NA,NA,NA,NA,NA
2014-05-06,50,0.1,16.5,5,2.83333333333333,13,13.3333333333333,1.83333333333333
2014-05-06,50,0.8,9.5,2,2.83333333333333,13,13.3333333333333,1.83333333333333
2014-05-06,50,1.6,7,0.333333333333333,2,13,13.3333333333333,1.83333333333333
2014-05-06,50,2.8,10.1666666666667,1,2.66666666666667,13,13.3333333333333,1.83333333333333
2014-05-06,50,3.8,6.5,1.16666666666667,2,13,13.3333333333333,1.83333333333333
2014-05-06,50,5,10.3333333333333,1.83333333333333,3.5,13,13.3333333333333,1.83333333333333
2014-05-06,50,5.2,NA,NA,NA,NA,NA,NA
2014-05-06,50,5.5,NA,NA,NA,NA,NA,NA
2014-05-06,50,5.8,NA,NA,NA,NA,NA,NA
2014-05-06,50,6,NA,NA,NA,NA,NA,NA
2014-05-06,50,6.2,16.8333333333333,2,2.66666666666667,13,13.3333333333333,1.83333333333333
2014-05-06,50,8,19.1666666666667,3.33333333333333,1.83333333333333,13,13.3333333333333,1.83333333333333
2014-05-06,50,9,18.3333333333333,3,1.83333333333333,13,13.3333333333333,1.83333333333333
2014-05-06,50,9.3,NA,NA,NA,NA,NA,NA
2014-05-07,50,0.1,14,4,2.66666666666667,13,11.6666666666667,1.66666666666667
2014-05-07,50,0.8,9,2,2.66666666666667,13,11.6666666666667,1.66666666666667
2014-05-07,50,1.6,7,0.666666666666667,2,13,11.6666666666667,1.66666666666667
2014-05-07,50,2.8,9.33333333333333,1,2.33333333333333,13,11.6666666666667,1.66666666666667
2014-05-07,50,3.8,7,1.33333333333333,2,13,11.6666666666667,1.66666666666667
2014-05-07,50,5,10.6666666666667,1.66666666666667,3,13,11.6666666666667,1.66666666666667
2014-05-07,50,5.2,NA,NA,NA,NA,NA,NA
2014-05-07,50,5.5,NA,NA,NA,NA,NA,NA
2014-05-07,50,5.8,NA,NA,NA,NA,NA,NA
2014-05-07,50,6,NA,NA,NA,NA,NA,NA
2014-05-07,50,6.2,15.6666666666667,2,2.33333333333333,13,11.6666666666667,1.66666666666667
2014-05-07,50,8,18.3333333333333,3.66666666666667,1.66666666666667,13,11.6666666666667,1.66666666666667
2014-05-07,50,9,16.6666666666667,3,1.66666666666667,13,11.6666666666667,1.66666666666667
2014-05-07,50,9.3,NA,NA,NA,NA,NA,NA
2014-05-08,50,0.1,11.5,3,2.5,13,10,1.5
2014-05-08,50,0.8,8.5,2,2.5,13,10,1.5
2014-05-08,50,1.6,7,1,2,13,10,1.5
2014-05-08,50,2.8,8.5,1,2,13,10,1.5
2014-05-08,50,3.8,7.5,1.5,2,13,10,1.5
2014-05-08,50,5,11,1.5,2.5,13,10,1.5
2014-05-08,50,5.2,NA,NA,NA,NA,NA,NA
2014-05-08,50,5.5,NA,NA,NA,NA,NA,NA
2014-05-08,50,5.8,NA,NA,NA,NA,NA,NA
2014-05-08,50,6,NA,NA,NA,NA,NA,NA
2014-05-08,50,6.2,14.5,2,2,13,10,1.5
2014-05-08,50,8,17.5,4,1.5,13,10,1.5
2014-05-08,50,9,15,3,1.5,13,10,1.5
2014-05-08,50,9.3,NA,NA,NA,NA,NA,NA
2014-05-09,50,0.1,9,2,2.33333333333333,13,8.33333333333333,1.33333333333333
2014-05-09,50,0.8,8,2,2.33333333333333,13,8.33333333333333,1.33333333333333
2014-05-09,50,1.6,7,1.33333333333333,2,13,8.33333333333333,1.33333333333333
2014-05-09,50,2.8,7.66666666666667,1,1.66666666666667,13,8.33333333333333,1.33333333333333
2014-05-09,50,3.8,8,1.66666666666667,2,13,8.33333333333333,1.33333333333333
2014-05-09,50,5,11.3333333333333,1.33333333333333,2,13,8.33333333333333,1.33333333333333
2014-05-09,50,5.2,NA,NA,NA,NA,NA,NA
