"Date","Site","Depth","DOC_interp","DOCinf_interp"
2014-05-12,50,1.6,NA,2
2014-05-12,50,2.8,NA,2
2014-05-12,50,3.8,NA,2
2014-05-12,50,5,1.8,2
2014-05-12,50,5.2,NA,NA
2014-05-12,50,5.5,NA,NA
2014-05-12,50,5.8,NA,NA
2014-05-12,50,6,NA,NA
2014-05-12,50,6.2,NA,2
2014-05-12,50,8,NA,2
2014-05-12,50,9,1.8,2
2014-05-12,50,9.3,NA,NA
2014-05-14,50,0.1,1.93333333333333,1.96666666666667
2014-05-14,50,0.8,NA,1.96666666666667
2014-05-14,50,1.6,NA,1.96666666666667
2014-05-14,50,2.8,NA,1.96666666666667
2014-05-14,50,3.8,NA,1.96666666666667
2014-05-14,50,5,1.8,1.96666666666667
2014-05-14,50,5.2,NA,NA
2014-05-14,50,5.5,NA,NA
2014-05-14,50,5.8,NA,NA
2014-05-14,50,6,NA,NA
2014-05-14,50,6.2,NA,1.96666666666667
2014-05-14,50,8,NA,1.96666666666667
2014-05-14,50,9,1.8,1.96666666666667
2014-05-14,50,9.3,NA,NA
2014-05-15,50,0.1,1.96666666666667,1.93333333333333
2014-05-15,50,0.8,NA,1.93333333333333
2014-05-15,50,1.6,NA,1.93333333333333
2014-05-15,50,2.8,NA,1.93333333333333
2014-05-15,50,3.8,NA,1.93333333333333
2014-05-15,50,5,1.8,1.93333333333333
2014-05-15,50,5.2,NA,NA
2014-05-15,50,5.5,NA,NA
2014-05-15,50,5.8,NA,NA
2014-05-15,50,6,NA,NA
2014-05-15,50,6.2,NA,1.93333333333333
2014-05-15,50,8,NA,1.93333333333333
2014-05-15,50,9,1.8,1.93333333333333
2014-05-15,50,9.3,NA,NA
2014-05-19,50,0.1,2,1.9
2014-05-19,50,0.8,NA,1.9
2014-05-19,50,1.6,NA,1.9
2014-05-19,50,2.8,NA,1.9
2014-05-19,50,3.8,NA,1.9
2014-05-19,50,5,1.8,1.9
2014-05-19,50,5.2,NA,NA
2014-05-19,50,5.5,NA,NA
2014-05-19,50,5.8,NA,NA
2014-05-19,50,6,NA,NA
2014-05-19,50,6.2,NA,1.9
2014-05-19,50,8,NA,1.9
2014-05-19,50,9,1.8,1.9
2014-05-19,50,9.3,NA,NA
2014-05-22,50,0.1,1.95,1.9
2014-05-22,50,0.8,NA,1.9
2014-05-22,50,1.6,NA,1.9
2014-05-22,50,2.8,NA,1.9
2014-05-22,50,3.8,NA,1.9
2014-05-22,50,5,1.95,1.9
2014-05-22,50,5.2,NA,NA
2014-05-22,50,5.5,NA,NA
2014-05-22,50,5.8,NA,NA
2014-05-22,50,6,NA,NA
2014-05-22,50,6.2,NA,1.9
2014-05-22,50,8,NA,1.9
2014-05-22,50,9,1.9,1.9
2014-05-22,50,9.3,NA,NA
2014-05-26,50,0.1,1.9,1.9
2014-05-26,50,0.8,NA,1.9
2014-05-26,50,1.6,NA,1.9
2014-05-26,50,2.8,NA,1.9
2014-05-26,50,3.8,NA,1.9
2014-05-26,50,5,2.1,1.9
2014-05-26,50,5.2,NA,NA
2014-05-26,50,5.5,NA,NA
2014-05-26,50,5.8,NA,NA
2014-05-26,50,6,NA,NA
2014-05-26,50,6.2,NA,1.9
2014-05-26,50,8,NA,1.9
2014-05-26,50,9,2,1.9
2014-05-26,50,9.3,NA,NA
2014-05-28,50,0.1,1.9,2
2014-05-28,50,0.8,NA,2
2014-05-28,50,1.6,NA,2
2014-05-28,50,2.8,NA,2
2014-05-28,50,3.8,NA,2
2014-05-28,50,5,2.12857142857143,2
2014-05-28,50,5.2,NA,NA
2014-05-28,50,5.5,NA,NA
2014-05-28,50,5.8,NA,NA
2014-05-28,50,6,NA,NA
2014-05-28,50,6.2,NA,2
2014-05-28,50,8,NA,2
2014-05-28,50,9,2,2
2014-05-28,50,9.3,NA,NA
2014-06-02,50,0.1,1.9,2.1
2014-06-02,50,0.8,NA,2.1
2014-06-02,50,1.6,NA,2.1
2014-06-02,50,2.8,NA,2.1
2014-06-02,50,3.8,NA,2.1
2014-06-02,50,5,2.15714285714286,2.1
2014-06-02,50,5.2,NA,NA
2014-06-02,50,5.5,NA,NA
2014-06-02,50,5.8,NA,NA
2014-06-02,50,6,NA,NA
2014-06-02,50,6.2,NA,2.1
2014-06-02,50,8,NA,2.1
2014-06-02,50,9,2,2.1
2014-06-02,50,9.3,NA,NA
2014-06-03,50,0.1,1.9,2.06
2014-06-03,50,0.8,NA,2.06
2014-06-03,50,1.6,NA,2.06
2014-06-03,50,2.8,NA,2.06
2014-06-03,50,3.8,NA,2.06
2014-06-03,50,5,2.18571428571429,2.06
2014-06-03,50,5.2,NA,NA
2014-06-03,50,5.5,NA,NA
2014-06-03,50,5.8,NA,NA
2014-06-03,50,6,NA,NA
2014-06-03,50,6.2,NA,2.06
2014-06-03,50,8,NA,2.06
2014-06-03,50,9,2.02,2.06
2014-06-03,50,9.3,NA,NA
2014-06-04,50,0.1,1.9,2.02
2014-06-04,50,0.8,NA,2.02
2014-06-04,50,1.6,NA,2.02
2014-06-04,50,2.8,NA,2.02
2014-06-04,50,3.8,NA,2.02
2014-06-04,50,5,2.21428571428571,2.02
2014-06-04,50,5.2,NA,NA
2014-06-04,50,5.5,NA,NA
2014-06-04,50,5.8,NA,NA
2014-06-04,50,6,NA,NA
2014-06-04,50,6.2,NA,2.02
2014-06-04,50,8,NA,2.02
2014-06-04,50,9,2.04,2.02
2014-06-04,50,9.3,NA,NA
2014-06-05,50,0.1,1.9,1.98
2014-06-05,50,0.8,NA,1.98
2014-06-05,50,1.6,NA,1.98
2014-06-05,50,2.8,NA,1.98
2014-06-05,50,3.8,NA,1.98
2014-06-05,50,5,2.24285714285714,1.98
2014-06-05,50,5.2,NA,NA
2014-06-05,50,5.5,NA,NA
2014-06-05,50,5.8,NA,NA
2014-06-05,50,6,NA,NA
2014-06-05,50,6.2,NA,1.98
2014-06-05,50,8,NA,1.98
2014-06-05,50,9,2.06,1.98
2014-06-05,50,9.3,NA,NA
2014-06-06,50,0.1,1.9,1.94
2014-06-06,50,0.8,NA,1.94
2014-06-06,50,1.6,NA,1.94
2014-06-06,50,2.8,NA,1.94
2014-06-06,50,3.8,NA,1.94
2014-06-06,50,5,2.27142857142857,1.94
2014-06-06,50,5.2,NA,NA
2014-06-06,50,5.5,NA,NA
2014-06-06,50,5.8,NA,NA
2014-06-06,50,6,NA,NA
2014-06-06,50,6.2,NA,1.94
2014-06-06,50,8,NA,1.94
2014-06-06,50,9,2.08,1.94
2014-06-06,50,9.3,NA,NA
2014-06-09,50,0.1,1.9,1.9
2014-06-09,50,0.8,NA,1.9
2014-06-09,50,1.6,NA,1.9
2014-06-09,50,2.8,NA,1.9
2014-06-09,50,3.8,NA,1.9
2014-06-09,50,5,2.3,1.9
2014-06-09,50,5.2,NA,NA
2014-06-09,50,5.5,NA,NA
2014-06-09,50,5.8,NA,NA
2014-06-09,50,6,NA,NA
2014-06-09,50,6.2,NA,1.9
2014-06-09,50,8,NA,1.9
2014-06-09,50,9,2.1,1.9
2014-06-09,50,9.3,NA,NA
2014-06-12,50,0.1,2.05,1.9
2014-06-12,50,0.8,NA,1.9
2014-06-12,50,1.6,NA,1.9
2014-06-12,50,2.8,NA,1.9
2014-06-12,50,3.8,NA,1.9
2014-06-12,50,5,2.21666666666667,1.9
2014-06-12,50,5.2,NA,NA
2014-06-12,50,5.5,NA,NA
2014-06-12,50,5.8,NA,NA
2014-06-12,50,6,NA,NA
2014-06-12,50,6.2,NA,1.9
2014-06-12,50,8,NA,1.9
2014-06-12,50,9,1.95,1.9
2014-06-12,50,9.3,NA,NA
2014-06-16,50,0.1,2.2,1.9
2014-06-16,50,0.8,NA,1.9
2014-06-16,50,1.6,NA,1.9
2014-06-16,50,2.8,NA,1.9
2014-06-16,50,3.8,NA,1.9
2014-06-16,50,5,2.13333333333333,1.9
2014-06-16,50,5.2,NA,NA
2014-06-16,50,5.5,NA,NA
2014-06-16,50,5.8,NA,NA
2014-06-16,50,6,NA,NA
2014-06-16,50,6.2,NA,1.9
2014-06-16,50,8,NA,1.9
2014-06-16,50,9,1.8,1.9
2014-06-16,50,9.3,NA,NA
2014-06-19,50,0.1,2.1,1.85
2014-06-19,50,0.8,NA,1.85
2014-06-19,50,1.6,NA,1.85
2014-06-19,50,2.8,NA,1.85
2014-06-19,50,3.8,NA,1.85
2014-06-19,50,5,2.05,1.85
2014-06-19,50,5.2,NA,NA
2014-06-19,50,5.5,NA,NA
2014-06-19,50,5.8,NA,NA
2014-06-19,50,6,NA,NA
2014-06-19,50,6.2,NA,1.85
2014-06-19,50,8,NA,1.85
2014-06-19,50,9,1.95,1.85
2014-06-19,50,9.3,NA,NA
2014-06-23,50,0.1,2,1.8
2014-06-23,50,0.8,NA,1.8
2014-06-23,50,1.6,NA,1.8
2014-06-23,50,2.8,NA,1.8
2014-06-23,50,3.8,NA,1.8
2014-06-23,50,5,1.96666666666667,1.8
2014-06-23,50,5.2,NA,NA
2014-06-23,50,5.5,NA,NA
2014-06-23,50,5.8,NA,NA
2014-06-23,50,6,NA,NA
2014-06-23,50,6.2,NA,1.8
2014-06-23,50,8,NA,1.8
2014-06-23,50,9,2.1,1.8
2014-06-23,50,9.3,NA,NA
2014-06-25,50,0.1,2.15,1.95
2014-06-25,50,0.8,NA,1.95
2014-06-25,50,1.6,NA,1.95
2014-06-25,50,2.8,NA,1.95
2014-06-25,50,3.8,NA,1.95
2014-06-25,50,5,1.88333333333333,1.95
2014-06-25,50,5.2,NA,NA
2014-06-25,50,5.5,NA,NA
2014-06-25,50,5.8,NA,NA
2014-06-25,50,6,NA,NA
2014-06-25,50,6.2,NA,1.95
2014-06-25,50,8,NA,1.95
2014-06-25,50,9,2.5,1.95
2014-06-25,50,9.3,NA,NA
2014-06-29,50,0.1,2.3,2.1
2014-06-29,50,0.8,NA,2.1
2014-06-29,50,1.6,NA,2.1
2014-06-29,50,2.8,NA,2.1
2014-06-29,50,3.8,NA,2.1
2014-06-29,50,5,1.8,2.1
2014-06-29,50,5.2,NA,NA
2014-06-29,50,5.5,NA,NA
2014-06-29,50,5.8,NA,NA
2014-06-29,50,6,NA,NA
2014-06-29,50,6.2,NA,2.1
2014-06-29,50,8,NA,2.1
2014-06-29,50,9,2.9,2.1
2014-06-29,50,9.3,NA,NA
2014-06-30,50,0.1,2,1.9
2014-06-30,50,0.8,NA,1.9
2014-06-30,50,1.6,NA,1.9
2014-06-30,50,2.8,NA,1.9
2014-06-30,50,3.8,NA,1.9
2014-06-30,50,5,1.9,1.9
2014-06-30,50,5.2,NA,NA
2014-06-30,50,5.5,NA,NA
2014-06-30,50,5.8,NA,NA
2014-06-30,50,6,NA,NA
2014-06-30,50,6.2,NA,1.9
2014-06-30,50,8,NA,1.9
2014-06-30,50,9,1.9,1.9
2014-06-30,50,9.3,NA,NA
2014-07-01,50,0.1,1.93333333333333,1.93333333333333
2014-07-01,50,0.8,NA,1.93333333333333
2014-07-01,50,1.6,NA,1.93333333333333
2014-07-01,50,2.8,NA,1.93333333333333
2014-07-01,50,3.8,NA,1.93333333333333
2014-07-01,50,5,1.9,1.93333333333333
2014-07-01,50,5.2,NA,NA
2014-07-01,50,5.5,NA,NA
2014-07-01,50,5.8,NA,NA
2014-07-01,50,6,NA,NA
2014-07-01,50,6.2,NA,1.93333333333333
2014-07-01,50,8,NA,1.93333333333333
2014-07-01,50,9,1.93333333333333,1.93333333333333
2014-07-01,50,9.3,NA,NA
2014-07-02,50,0.1,1.86666666666667,1.96666666666667
2014-07-02,50,0.8,NA,1.96666666666667
2014-07-02,50,1.6,NA,1.96666666666667
2014-07-02,50,2.8,NA,1.96666666666667
2014-07-02,50,3.8,NA,1.96666666666667
2014-07-02,50,5,1.9,1.96666666666667
2014-07-02,50,5.2,NA,NA
2014-07-02,50,5.5,NA,NA
2014-07-02,50,5.8,NA,NA
2014-07-02,50,6,NA,NA
2014-07-02,50,6.2,NA,1.96666666666667
2014-07-02,50,8,NA,1.96666666666667
2014-07-02,50,9,1.96666666666667,1.96666666666667
2014-07-02,50,9.3,NA,NA
2014-07-07,50,0.1,1.8,2
2014-07-07,50,0.8,NA,2
2014-07-07,50,1.6,NA,2
2014-07-07,50,2.8,NA,2
2014-07-07,50,3.8,NA,2
2014-07-07,50,5,1.9,2
2014-07-07,50,5.2,NA,NA
2014-07-07,50,5.5,NA,NA
2014-07-07,50,5.8,NA,NA
2014-07-07,50,6,NA,NA
2014-07-07,50,6.2,NA,2
2014-07-07,50,8,NA,2
2014-07-07,50,9,2,2
2014-07-07,50,9.3,NA,NA
2014-07-09,50,0.1,2.1,2.05
2014-07-09,50,0.8,NA,2.05
2014-07-09,50,1.6,NA,2.05
2014-07-09,50,2.8,NA,2.05
2014-07-09,50,3.8,NA,2.05
2014-07-09,50,5,1.95,2.05
2014-07-09,50,5.2,NA,NA
2014-07-09,50,5.5,NA,NA
2014-07-09,50,5.8,NA,NA
2014-07-09,50,6,NA,NA
2014-07-09,50,6.2,NA,2.05
2014-07-09,50,8,NA,2.05
2014-07-09,50,9,2,2.05
2014-07-09,50,9.3,NA,NA
2014-07-14,50,0.1,2.4,2.1
2014-07-14,50,0.8,NA,2.1
2014-07-14,50,1.6,NA,2.1
2014-07-14,50,2.8,NA,2.1
2014-07-14,50,3.8,NA,2.1
2014-07-14,50,5,2,2.1
2014-07-14,50,5.2,NA,NA
2014-07-14,50,5.5,NA,NA
2014-07-14,50,5.8,NA,NA
2014-07-14,50,6,NA,NA
2014-07-14,50,6.2,NA,2.1
2014-07-14,50,8,NA,2.1
2014-07-14,50,9,2,2.1
2014-07-14,50,9.3,NA,NA
2014-07-16,50,0.1,2.35,2.2
2014-07-16,50,0.8,NA,2.2
2014-07-16,50,1.6,NA,2.2
2014-07-16,50,2.8,NA,2.2
2014-07-16,50,3.8,NA,2.2
2014-07-16,50,5,3.05,2.2
2014-07-16,50,5.2,NA,NA
2014-07-16,50,5.5,NA,NA
2014-07-16,50,5.8,NA,NA
2014-07-16,50,6,NA,NA
2014-07-16,50,6.2,NA,2.2
2014-07-16,50,8,NA,2.2
2014-07-16,50,9,1.95,2.2
2014-07-16,50,9.3,NA,NA
2014-07-21,50,0.1,2.3,2.3
2014-07-21,50,0.8,NA,2.3
2014-07-21,50,1.6,NA,2.3
2014-07-21,50,2.8,NA,2.3
2014-07-21,50,3.8,NA,2.3
2014-07-21,50,5,4.1,2.3
2014-07-21,50,5.2,NA,NA
2014-07-21,50,5.5,NA,NA
2014-07-21,50,5.8,NA,NA
2014-07-21,50,6,NA,NA
2014-07-21,50,6.2,NA,2.3
2014-07-21,50,8,NA,2.3
2014-07-21,50,9,1.9,2.3
2014-07-21,50,9.3,NA,NA
2014-07-23,50,0.1,2.35,2.2
2014-07-23,50,0.8,NA,2.2
2014-07-23,50,1.6,NA,2.2
2014-07-23,50,2.8,NA,2.2
2014-07-23,50,3.8,NA,2.2
2014-07-23,50,5,2.9,2.2
2014-07-23,50,5.2,NA,NA
2014-07-23,50,5.5,NA,NA
2014-07-23,50,5.8,NA,NA
2014-07-23,50,6,NA,NA
2014-07-23,50,6.2,NA,2.2
2014-07-23,50,8,NA,2.2
2014-07-23,50,9,1.95,2.2
2014-07-23,50,9.3,NA,NA
2014-07-28,50,0.1,2.4,2.1
2014-07-28,50,0.8,NA,2.1
2014-07-28,50,1.6,NA,2.1
2014-07-28,50,2.8,NA,2.1
2014-07-28,50,3.8,NA,2.1
2014-07-28,50,5,1.7,2.1
2014-07-28,50,5.2,NA,NA
2014-07-28,50,5.5,NA,NA
2014-07-28,50,5.8,NA,NA
2014-07-28,50,6,NA,NA
2014-07-28,50,6.2,NA,2.1
2014-07-28,50,8,NA,2.1
2014-07-28,50,9,2,2.1
2014-07-28,50,9.3,NA,NA
2014-07-30,50,0.1,2.3,2.1
2014-07-30,50,0.8,NA,2.1
2014-07-30,50,1.6,NA,2.1
2014-07-30,50,2.8,NA,2.1
2014-07-30,50,3.8,NA,2.1
2014-07-30,50,5,1.73333333333333,2.1
2014-07-30,50,5.2,NA,NA
2014-07-30,50,5.5,NA,NA
2014-07-30,50,5.8,NA,NA
2014-07-30,50,6,NA,NA
2014-07-30,50,6.2,NA,2.1
2014-07-30,50,8,NA,2.1
2014-07-30,50,9,2.06666666666667,2.1
2014-07-30,50,9.3,NA,NA
2014-08-02,50,0.1,2.2,2.1
2014-08-02,50,0.8,NA,2.1
2014-08-02,50,1.6,NA,2.1
2014-08-02,50,2.8,NA,2.1
2014-08-02,50,3.8,NA,2.1
2014-08-02,50,5,1.76666666666667,2.1
2014-08-02,50,5.2,NA,NA
2014-08-02,50,5.5,NA,NA
2014-08-02,50,5.8,NA,NA
2014-08-02,50,6,NA,NA
2014-08-02,50,6.2,NA,2.1
2014-08-02,50,8,NA,2.1
2014-08-02,50,9,2.13333333333333,2.1
2014-08-02,50,9.3,NA,NA
2014-08-04,50,0.1,2.1,2.1
2014-08-04,50,0.8,NA,2.1
2014-08-04,50,1.6,NA,2.1
2014-08-04,50,2.8,NA,2.1
2014-08-04,50,3.8,NA,2.1
2014-08-04,50,5,1.8,2.1
2014-08-04,50,5.2,NA,NA
2014-08-04,50,5.5,NA,NA
2014-08-04,50,5.8,NA,NA
2014-08-04,50,6,NA,NA
2014-08-04,50,6.2,NA,2.1
2014-08-04,50,8,NA,2.1
2014-08-04,50,9,2.2,2.1
2014-08-04,50,9.3,NA,NA
2014-08-06,50,0.1,2.125,2.15
2014-08-06,50,0.8,NA,2.15
2014-08-06,50,1.6,NA,2.15
2014-08-06,50,2.8,NA,2.15
2014-08-06,50,3.8,NA,2.15
2014-08-06,50,5,1.75,2.15
2014-08-06,50,5.2,NA,NA
2014-08-06,50,5.5,NA,NA
2014-08-06,50,5.8,NA,NA
2014-08-06,50,6,NA,NA
2014-08-06,50,6.2,NA,2.15
2014-08-06,50,8,NA,2.15
2014-08-06,50,9,2.35,2.15
2014-08-06,50,9.3,NA,NA
2014-08-09,50,0.1,2.15,2.2
2014-08-09,50,0.8,NA,2.2
2014-08-09,50,1.6,NA,2.2
2014-08-09,50,2.8,NA,2.2
2014-08-09,50,3.8,NA,2.2
2014-08-09,50,5,1.7,2.2
2014-08-09,50,5.2,NA,NA
2014-08-09,50,5.5,NA,NA
2014-08-09,50,5.8,NA,NA
2014-08-09,50,6,NA,NA
2014-08-09,50,6.2,NA,2.2
2014-08-09,50,8,NA,2.2
2014-08-09,50,9,2.5,2.2
2014-08-09,50,9.3,NA,NA
2014-08-10,50,0.1,2.175,2.25
2014-08-10,50,0.8,NA,2.25
2014-08-10,50,1.6,NA,2.25
2014-08-10,50,2.8,NA,2.25
2014-08-10,50,3.8,NA,2.25
2014-08-10,50,5,1.65,2.25
2014-08-10,50,5.2,NA,NA
2014-08-10,50,5.5,NA,NA
2014-08-10,50,5.8,NA,NA
2014-08-10,50,6,NA,NA
2014-08-10,50,6.2,NA,2.25
2014-08-10,50,8,NA,2.25
2014-08-10,50,9,2.65,2.25
2014-08-10,50,9.3,NA,NA
2014-08-11,50,0.1,2.2,2.3
2014-08-11,50,0.8,NA,2.3
2014-08-11,50,1.6,NA,2.3
2014-08-11,50,2.8,NA,2.3
2014-08-11,50,3.8,NA,2.3
2014-08-11,50,5,1.6,2.3
2014-08-11,50,5.2,NA,NA
2014-08-11,50,5.5,NA,NA
2014-08-11,50,5.8,NA,NA
2014-08-11,50,6,NA,NA
2014-08-11,50,6.2,NA,2.3
2014-08-11,50,8,NA,2.3
2014-08-11,50,9,2.8,2.3
2014-08-11,50,9.3,NA,NA
2014-08-13,50,0.1,2.3,2.2
2014-08-13,50,0.8,NA,2.2
2014-08-13,50,1.6,NA,2.2
2014-08-13,50,2.8,NA,2.2
2014-08-13,50,3.8,NA,2.2
2014-08-13,50,5,1.8,2.2
2014-08-13,50,5.2,NA,NA
2014-08-13,50,5.5,NA,NA
2014-08-13,50,5.8,NA,NA
2014-08-13,50,6,NA,NA
2014-08-13,50,6.2,NA,2.2
2014-08-13,50,8,NA,2.2
2014-08-13,50,9,2.85,2.2
2014-08-13,50,9.3,NA,NA
2014-08-18,50,0.1,2.4,2.1
2014-08-18,50,0.8,NA,2.1
2014-08-18,50,1.6,NA,2.1
2014-08-18,50,2.8,NA,2.1
2014-08-18,50,3.8,NA,2.1
2014-08-18,50,5,2,2.1
2014-08-18,50,5.2,NA,NA
2014-08-18,50,5.5,NA,NA
2014-08-18,50,5.8,NA,NA
2014-08-18,50,6,NA,NA
2014-08-18,50,6.2,NA,2.1
2014-08-18,50,8,NA,2.1
2014-08-18,50,9,2.9,2.1
2014-08-18,50,9.3,NA,NA
2014-08-19,50,0.1,2.4,2.1
2014-08-19,50,0.8,NA,2.1
2014-08-19,50,1.6,NA,2.1
2014-08-19,50,2.8,NA,2.1
2014-08-19,50,3.8,NA,2.1
2014-08-19,50,5,1.86666666666667,2.1
2014-08-19,50,5.2,NA,NA
2014-08-19,50,5.5,NA,NA
2014-08-19,50,5.8,NA,NA
2014-08-19,50,6,NA,NA
2014-08-19,50,6.2,NA,2.1
2014-08-19,50,8,NA,2.1
2014-08-19,50,9,2.56666666666667,2.1
2014-08-19,50,9.3,NA,NA
2014-08-21,50,0.1,2.4,2.1
2014-08-21,50,0.8,NA,2.1
2014-08-21,50,1.6,NA,2.1
2014-08-21,50,2.8,NA,2.1
2014-08-21,50,3.8,NA,2.1
2014-08-21,50,5,1.73333333333333,2.1
2014-08-21,50,5.2,NA,NA
2014-08-21,50,5.5,NA,NA
2014-08-21,50,5.8,NA,NA
2014-08-21,50,6,NA,NA
2014-08-21,50,6.2,NA,2.1
2014-08-21,50,8,NA,2.1
2014-08-21,50,9,2.23333333333333,2.1
2014-08-21,50,9.3,NA,NA
2014-08-25,50,0.1,2.4,2.1
2014-08-25,50,0.8,NA,2.1
2014-08-25,50,1.6,NA,2.1
2014-08-25,50,2.8,NA,2.1
2014-08-25,50,3.8,NA,2.1
2014-08-25,50,5,1.6,2.1
2014-08-25,50,5.2,NA,NA
2014-08-25,50,5.5,NA,NA
2014-08-25,50,5.8,NA,NA
2014-08-25,50,6,NA,NA
2014-08-25,50,6.2,NA,2.1
2014-08-25,50,8,NA,2.1
2014-08-25,50,9,1.9,2.1
2014-08-25,50,9.3,NA,NA
2014-08-30,50,0.1,2.25,1.95
2014-08-30,50,0.8,NA,1.95
2014-08-30,50,1.6,NA,1.95
2014-08-30,50,2.8,NA,1.95
2014-08-30,50,3.8,NA,1.95
2014-08-30,50,5,1.8,1.95
2014-08-30,50,5.2,NA,NA
2014-08-30,50,5.5,NA,NA
2014-08-30,50,5.8,NA,NA
2014-08-30,50,6,NA,NA
2014-08-30,50,6.2,NA,1.95
2014-08-30,50,8,NA,1.95
2014-08-30,50,9,1.9,1.95
2014-08-30,50,9.3,NA,NA
2014-09-03,50,0.1,2.1,1.8
2014-09-03,50,0.8,NA,1.8
2014-09-03,50,1.6,NA,1.8
2014-09-03,50,2.8,NA,1.8
2014-09-03,50,3.8,NA,1.8
2014-09-03,50,5,2,1.8
2014-09-03,50,5.2,NA,NA
2014-09-03,50,5.5,NA,NA
2014-09-03,50,5.8,NA,NA
2014-09-03,50,6,NA,NA
2014-09-03,50,6.2,NA,1.8
2014-09-03,50,8,NA,1.8
2014-09-03,50,9,1.9,1.8
2014-09-03,50,9.3,NA,NA
2014-09-08,50,0.1,2.6,2.2
2014-09-08,50,0.8,NA,2.2
2014-09-08,50,1.6,NA,2.2
2014-09-08,50,2.8,NA,2.2
2014-09-08,50,3.8,NA,2.2
2014-09-08,50,5,1.9,2.2
2014-09-08,50,5.2,NA,NA
2014-09-08,50,5.5,NA,NA
2014-09-08,50,5.8,NA,NA
2014-09-08,50,6,NA,NA
2014-09-08,50,6.2,NA,2.2
2014-09-08,50,8,NA,2.2
2014-09-08,50,9,1.9,2.2
2014-09-08,50,9.3,NA,NA
2014-09-15,50,0.1,2.6,2
2014-09-15,50,0.8,NA,2
2014-09-15,50,1.6,NA,2
2014-09-15,50,2.8,NA,2
2014-09-15,50,3.8,NA,2
2014-09-15,50,5,1.6,2
2014-09-15,50,5.2,NA,NA
2014-09-15,50,5.5,NA,NA
2014-09-15,50,5.8,NA,NA
2014-09-15,50,6,NA,NA
2014-09-15,50,6.2,NA,2
2014-09-15,50,8,NA,2
2014-09-15,50,9,2.1,2
2014-09-15,50,9.3,NA,NA
2014-09-22,50,0.1,2.2,1.9
2014-09-22,50,0.8,NA,1.9
2014-09-22,50,1.6,NA,1.9
2014-09-22,50,2.8,NA,1.9
2014-09-22,50,3.8,NA,1.9
2014-09-22,50,5,1.8,1.9
2014-09-22,50,5.2,NA,NA
