"Date","Site","Depth","TNinf_interp"
2015-04-19,50,9.3,NA
2015-04-21,50,0.1,182
2015-04-21,50,0.8,174.2
2015-04-21,50,1.6,182
2015-04-21,50,2.8,182
2015-04-21,50,3.8,182
2015-04-21,50,5,182
2015-04-21,50,5.2,NA
2015-04-21,50,5.5,NA
2015-04-21,50,5.8,NA
2015-04-21,50,6,NA
2015-04-21,50,6.2,182
2015-04-21,50,8,182
2015-04-21,50,9,182
2015-04-21,50,9.3,NA
2015-04-25,50,0.1,174.5
2015-04-25,50,0.8,170.6
2015-04-25,50,1.6,174.5
2015-04-25,50,2.8,174.5
2015-04-25,50,3.8,174.5
2015-04-25,50,5,174.5
2015-04-25,50,5.2,NA
2015-04-25,50,5.5,NA
2015-04-25,50,5.8,NA
2015-04-25,50,6,NA
2015-04-25,50,6.2,174.5
2015-04-25,50,8,174.5
2015-04-25,50,9,174.5
2015-04-25,50,9.3,NA
2015-04-28,50,0.1,167
2015-04-28,50,0.8,167
2015-04-28,50,1.6,167
2015-04-28,50,2.8,167
2015-04-28,50,3.8,167
2015-04-28,50,5,167
2015-04-28,50,5.2,NA
2015-04-28,50,5.5,NA
2015-04-28,50,5.8,NA
2015-04-28,50,6,NA
2015-04-28,50,6.2,167
2015-04-28,50,8,167
2015-04-28,50,9,167
2015-04-28,50,9.3,NA
2015-05-01,50,0.1,165.5
2015-05-01,50,0.8,165.5
2015-05-01,50,1.6,165.5
2015-05-01,50,2.8,165.5
2015-05-01,50,3.8,165.5
2015-05-01,50,5,165.5
2015-05-01,50,5.2,NA
2015-05-01,50,5.5,NA
2015-05-01,50,5.8,NA
2015-05-01,50,6,NA
2015-05-01,50,6.2,165.5
2015-05-01,50,8,165.5
2015-05-01,50,9,165.5
2015-05-01,50,9.3,NA
2015-05-05,50,0.1,164
2015-05-05,50,0.8,164
2015-05-05,50,1.6,164
2015-05-05,50,2.8,164
2015-05-05,50,3.8,164
2015-05-05,50,5,164
2015-05-05,50,5.2,NA
2015-05-05,50,5.5,NA
2015-05-05,50,5.8,NA
2015-05-05,50,6,NA
2015-05-05,50,6.2,164
2015-05-05,50,8,164
2015-05-05,50,9,164
2015-05-05,50,9.3,NA
2015-05-07,50,0.1,166.5
2015-05-07,50,0.8,NA
2015-05-07,50,1.6,166.5
2015-05-07,50,2.8,NA
2015-05-07,50,3.8,166.5
2015-05-07,50,5,166.5
2015-05-07,50,5.2,NA
2015-05-07,50,5.5,NA
2015-05-07,50,5.8,NA
2015-05-07,50,6,NA
2015-05-07,50,6.2,166.5
2015-05-07,50,8,166.5
2015-05-07,50,9,166.5
2015-05-07,50,9.3,NA
2015-05-11,50,0.1,169
2015-05-11,50,0.8,NA
2015-05-11,50,1.6,169
2015-05-11,50,2.8,NA
2015-05-11,50,3.8,169
2015-05-11,50,5,169
2015-05-11,50,5.2,NA
2015-05-11,50,5.5,NA
2015-05-11,50,5.8,NA
2015-05-11,50,6,NA
2015-05-11,50,6.2,169
2015-05-11,50,8,169
2015-05-11,50,9,169
2015-05-11,50,9.3,NA
2015-05-14,50,0.1,171.5
2015-05-14,50,0.8,NA
2015-05-14,50,1.6,171.5
2015-05-14,50,2.8,NA
2015-05-14,50,3.8,171.5
2015-05-14,50,5,171.5
2015-05-14,50,5.2,NA
2015-05-14,50,5.5,NA
2015-05-14,50,5.8,NA
2015-05-14,50,6,NA
2015-05-14,50,6.2,171.5
2015-05-14,50,8,171.5
2015-05-14,50,9,171.5
2015-05-14,50,9.3,NA
2015-05-18,50,0.1,174
2015-05-18,50,0.8,NA
2015-05-18,50,1.6,174
2015-05-18,50,2.8,NA
2015-05-18,50,3.8,174
2015-05-18,50,5,174
2015-05-18,50,5.2,NA
2015-05-18,50,5.5,NA
2015-05-18,50,5.8,NA
2015-05-18,50,6,NA
2015-05-18,50,6.2,174
2015-05-18,50,8,174
2015-05-18,50,9,174
2015-05-18,50,9.3,NA
2015-05-21,50,0.1,172.5
2015-05-21,50,0.8,NA
2015-05-21,50,1.6,172.5
2015-05-21,50,2.8,NA
2015-05-21,50,3.8,172.5
2015-05-21,50,5,172.5
2015-05-21,50,5.2,NA
2015-05-21,50,5.5,NA
2015-05-21,50,5.8,NA
2015-05-21,50,6,NA
2015-05-21,50,6.2,172.5
2015-05-21,50,8,172.5
2015-05-21,50,9,172.5
2015-05-21,50,9.3,NA
2015-05-25,50,0.1,171
2015-05-25,50,0.8,NA
2015-05-25,50,1.6,171
2015-05-25,50,2.8,NA
2015-05-25,50,3.8,171
2015-05-25,50,5,171
2015-05-25,50,5.2,NA
2015-05-25,50,5.5,NA
2015-05-25,50,5.8,NA
2015-05-25,50,6,NA
2015-05-25,50,6.2,171
2015-05-25,50,8,171
2015-05-25,50,9,171
2015-05-25,50,9.3,NA
2015-05-28,50,0.1,173.5
2015-05-28,50,0.8,NA
2015-05-28,50,1.6,173.5
2015-05-28,50,2.8,NA
2015-05-28,50,3.8,173.5
2015-05-28,50,5,173.5
2015-05-28,50,5.2,NA
2015-05-28,50,5.5,NA
2015-05-28,50,5.8,NA
2015-05-28,50,6,NA
2015-05-28,50,6.2,173.5
2015-05-28,50,8,173.5
2015-05-28,50,9,173.5
2015-05-28,50,9.3,NA
2015-06-08,50,0.1,176
2015-06-08,50,0.8,NA
2015-06-08,50,1.6,176
2015-06-08,50,2.8,NA
2015-06-08,50,3.8,176
2015-06-08,50,5,176
2015-06-08,50,5.2,NA
2015-06-08,50,5.5,NA
2015-06-08,50,5.8,NA
2015-06-08,50,6,NA
2015-06-08,50,6.2,176
2015-06-08,50,8,176
2015-06-08,50,9,176
2015-06-08,50,9.3,NA
2015-06-11,50,0.1,170.5
2015-06-11,50,0.8,NA
2015-06-11,50,1.6,170.5
2015-06-11,50,2.8,NA
2015-06-11,50,3.8,170.5
2015-06-11,50,5,170.5
2015-06-11,50,5.2,NA
2015-06-11,50,5.5,NA
2015-06-11,50,5.8,NA
2015-06-11,50,6,NA
2015-06-11,50,6.2,170.5
2015-06-11,50,8,170.5
2015-06-11,50,9,170.5
2015-06-11,50,9.3,NA
2015-06-15,50,0.1,165
2015-06-15,50,0.8,NA
2015-06-15,50,1.6,165
2015-06-15,50,2.8,NA
2015-06-15,50,3.8,165
2015-06-15,50,5,165
2015-06-15,50,5.2,NA
2015-06-15,50,5.5,NA
2015-06-15,50,5.8,NA
2015-06-15,50,6,NA
2015-06-15,50,6.2,165
2015-06-15,50,8,165
2015-06-15,50,9,165
2015-06-15,50,9.3,NA
2015-06-18,50,0.1,168.666666666667
2015-06-18,50,0.8,NA
2015-06-18,50,1.6,168.666666666667
2015-06-18,50,2.8,NA
2015-06-18,50,3.8,168.666666666667
2015-06-18,50,5,168.666666666667
2015-06-18,50,5.2,NA
2015-06-18,50,5.5,NA
2015-06-18,50,5.8,NA
2015-06-18,50,6,NA
2015-06-18,50,6.2,168.666666666667
2015-06-18,50,8,168.666666666667
2015-06-18,50,9,168.666666666667
2015-06-18,50,9.3,NA
2015-06-19,50,0.1,172.333333333333
2015-06-19,50,0.8,NA
2015-06-19,50,1.6,172.333333333333
2015-06-19,50,2.8,NA
2015-06-19,50,3.8,172.333333333333
2015-06-19,50,5,172.333333333333
2015-06-19,50,5.2,NA
2015-06-19,50,5.5,NA
2015-06-19,50,5.8,NA
2015-06-19,50,6,NA
2015-06-19,50,6.2,172.333333333333
2015-06-19,50,8,172.333333333333
2015-06-19,50,9,172.333333333333
2015-06-19,50,9.3,NA
2015-06-22,50,0.1,176
2015-06-22,50,0.8,NA
2015-06-22,50,1.6,176
2015-06-22,50,2.8,NA
2015-06-22,50,3.8,176
2015-06-22,50,5,176
2015-06-22,50,5.2,NA
2015-06-22,50,5.5,NA
2015-06-22,50,5.8,NA
2015-06-22,50,6,NA
2015-06-22,50,6.2,176
2015-06-22,50,8,176
2015-06-22,50,9,176
2015-06-22,50,9.3,NA
2015-06-23,50,0.1,177.333333333333
2015-06-23,50,0.8,NA
2015-06-23,50,1.6,177.333333333333
2015-06-23,50,2.8,NA
2015-06-23,50,3.8,177.333333333333
2015-06-23,50,5,177.333333333333
2015-06-23,50,5.2,NA
2015-06-23,50,5.5,NA
2015-06-23,50,5.8,NA
2015-06-23,50,6,NA
2015-06-23,50,6.2,177.333333333333
2015-06-23,50,8,177.333333333333
2015-06-23,50,9,177.333333333333
2015-06-23,50,9.3,NA
2015-06-25,50,0.1,178.666666666667
2015-06-25,50,0.8,NA
2015-06-25,50,1.6,178.666666666667
2015-06-25,50,2.8,NA
2015-06-25,50,3.8,178.666666666667
2015-06-25,50,5,178.666666666667
2015-06-25,50,5.2,NA
2015-06-25,50,5.5,NA
2015-06-25,50,5.8,NA
2015-06-25,50,6,NA
2015-06-25,50,6.2,178.666666666667
2015-06-25,50,8,178.666666666667
2015-06-25,50,9,178.666666666667
2015-06-25,50,9.3,NA
2015-06-29,50,0.1,180
2015-06-29,50,0.8,NA
2015-06-29,50,1.6,180
2015-06-29,50,2.8,NA
2015-06-29,50,3.8,180
2015-06-29,50,5,180
2015-06-29,50,5.2,NA
2015-06-29,50,5.5,NA
2015-06-29,50,5.8,NA
2015-06-29,50,6,NA
2015-06-29,50,6.2,180
2015-06-29,50,8,180
2015-06-29,50,9,180
2015-06-29,50,9.3,NA
2015-07-02,50,0.1,190
2015-07-02,50,0.8,NA
2015-07-02,50,1.6,190
2015-07-02,50,2.8,NA
2015-07-02,50,3.8,190
2015-07-02,50,5,190
2015-07-02,50,5.2,NA
2015-07-02,50,5.5,NA
2015-07-02,50,5.8,NA
2015-07-02,50,6,NA
2015-07-02,50,6.2,190
2015-07-02,50,8,190
2015-07-02,50,9,190
2015-07-02,50,9.3,NA
2015-07-06,50,0.1,200
2015-07-06,50,0.8,NA
2015-07-06,50,1.6,200
2015-07-06,50,2.8,NA
2015-07-06,50,3.8,200
2015-07-06,50,5,200
2015-07-06,50,5.2,NA
2015-07-06,50,5.5,NA
2015-07-06,50,5.8,NA
2015-07-06,50,6,NA
2015-07-06,50,6.2,200
2015-07-06,50,8,200
2015-07-06,50,9,200
2015-07-06,50,9.3,NA
2015-07-09,50,0.1,211.5
2015-07-09,50,0.8,NA
2015-07-09,50,1.6,211.5
2015-07-09,50,2.8,NA
2015-07-09,50,3.8,211.5
2015-07-09,50,5,211.5
2015-07-09,50,5.2,NA
2015-07-09,50,5.5,NA
2015-07-09,50,5.8,NA
2015-07-09,50,6,NA
2015-07-09,50,6.2,211.5
2015-07-09,50,8,211.5
2015-07-09,50,9,211.5
2015-07-09,50,9.3,NA
2015-07-13,50,0.1,223
2015-07-13,50,0.8,NA
2015-07-13,50,1.6,223
2015-07-13,50,2.8,NA
2015-07-13,50,3.8,223
2015-07-13,50,5,223
2015-07-13,50,5.2,NA
2015-07-13,50,5.5,NA
2015-07-13,50,5.8,NA
2015-07-13,50,6,NA
2015-07-13,50,6.2,223
2015-07-13,50,8,223
2015-07-13,50,9,223
2015-07-13,50,9.3,NA
2015-07-16,50,0.1,207.5
2015-07-16,50,0.8,NA
2015-07-16,50,1.6,207.5
2015-07-16,50,2.8,NA
2015-07-16,50,3.8,207.5
2015-07-16,50,5,207.5
2015-07-16,50,5.2,NA
2015-07-16,50,5.5,NA
2015-07-16,50,5.8,NA
2015-07-16,50,6,NA
2015-07-16,50,6.2,207.5
2015-07-16,50,8,207.5
2015-07-16,50,9,207.5
2015-07-16,50,9.3,NA
2015-07-20,50,0.1,192
2015-07-20,50,0.8,NA
2015-07-20,50,1.6,192
2015-07-20,50,2.8,NA
2015-07-20,50,3.8,192
2015-07-20,50,5,192
2015-07-20,50,5.2,NA
2015-07-20,50,5.5,NA
2015-07-20,50,5.8,NA
2015-07-20,50,6,NA
2015-07-20,50,6.2,192
2015-07-20,50,8,192
2015-07-20,50,9,192
2015-07-20,50,9.3,NA
2015-07-23,50,0.1,248.5
2015-07-23,50,0.8,NA
2015-07-23,50,1.6,248.5
2015-07-23,50,2.8,NA
2015-07-23,50,3.8,248.5
2015-07-23,50,5,248.5
2015-07-23,50,5.2,NA
2015-07-23,50,5.5,NA
2015-07-23,50,5.8,NA
2015-07-23,50,6,NA
2015-07-23,50,6.2,248.5
2015-07-23,50,8,248.5
2015-07-23,50,9,248.5
2015-07-23,50,9.3,NA
2015-07-27,50,0.1,305
2015-07-27,50,0.8,NA
2015-07-27,50,1.6,305
2015-07-27,50,2.8,NA
2015-07-27,50,3.8,305
2015-07-27,50,5,305
2015-07-27,50,5.2,NA
2015-07-27,50,5.5,NA
2015-07-27,50,5.8,NA
2015-07-27,50,6,NA
2015-07-27,50,6.2,305
2015-07-27,50,8,305
2015-07-27,50,9,305
2015-07-27,50,9.3,NA
2015-07-30,50,0.1,262
2015-07-30,50,0.8,NA
2015-07-30,50,1.6,262
2015-07-30,50,2.8,NA
2015-07-30,50,3.8,262
2015-07-30,50,5,262
2015-07-30,50,5.2,NA
2015-07-30,50,5.5,NA
2015-07-30,50,5.8,NA
2015-07-30,50,6,NA
2015-07-30,50,6.2,262
2015-07-30,50,8,262
2015-07-30,50,9,262
2015-07-30,50,9.3,NA
2015-08-03,50,0.1,219
2015-08-03,50,0.8,NA
2015-08-03,50,1.6,219
2015-08-03,50,2.8,NA
2015-08-03,50,3.8,219
2015-08-03,50,5,219
2015-08-03,50,5.2,NA
2015-08-03,50,5.5,NA
2015-08-03,50,5.8,NA
2015-08-03,50,6,NA
2015-08-03,50,6.2,219
2015-08-03,50,8,219
2015-08-03,50,9,219
2015-08-03,50,9.3,NA
2015-08-08,50,0.1,216.566666666667
2015-08-08,50,0.8,NA
2015-08-08,50,1.6,216.566666666667
2015-08-08,50,2.8,NA
2015-08-08,50,3.8,216.566666666667
2015-08-08,50,5,216.566666666667
2015-08-08,50,5.2,NA
2015-08-08,50,5.5,NA
2015-08-08,50,5.8,NA
2015-08-08,50,6,NA
2015-08-08,50,6.2,216.566666666667
2015-08-08,50,8,216.566666666667
2015-08-08,50,9,216.566666666667
2015-08-08,50,9.3,NA
2015-08-15,50,0.1,214.133333333333
2015-08-15,50,0.8,NA
2015-08-15,50,1.6,214.133333333333
2015-08-15,50,2.8,NA
2015-08-15,50,3.8,214.133333333333
2015-08-15,50,5,214.133333333333
2015-08-15,50,5.2,NA
2015-08-15,50,5.5,NA
2015-08-15,50,5.8,NA
2015-08-15,50,6,NA
2015-08-15,50,6.2,214.133333333333
2015-08-15,50,8,214.133333333333
2015-08-15,50,9,214.133333333333
2015-08-15,50,9.3,NA
2015-08-22,50,0.1,211.7
2015-08-22,50,0.8,NA
2015-08-22,50,1.6,211.7
2015-08-22,50,2.8,NA
2015-08-22,50,3.8,211.7
2015-08-22,50,5,211.7
2015-08-22,50,5.2,NA
2015-08-22,50,5.5,NA
2015-08-22,50,5.8,NA
2015-08-22,50,6,NA
2015-08-22,50,6.2,211.7
2015-08-22,50,8,211.7
2015-08-22,50,9,211.7
2015-08-22,50,9.3,NA
2015-08-31,50,0.1,209.266666666667
2015-08-31,50,0.8,NA
2015-08-31,50,1.6,209.266666666667
2015-08-31,50,2.8,NA
2015-08-31,50,3.8,209.266666666667
2015-08-31,50,5,209.266666666667
2015-08-31,50,5.2,NA
2015-08-31,50,5.5,NA
2015-08-31,50,5.8,NA
2015-08-31,50,6,NA
2015-08-31,50,6.2,209.266666666667
2015-08-31,50,8,209.266666666667
2015-08-31,50,9,209.266666666667
2015-08-31,50,9.3,NA
2015-09-04,50,0.1,206.833333333333
2015-09-04,50,0.8,NA
2015-09-04,50,1.6,206.833333333333
2015-09-04,50,2.8,NA
2015-09-04,50,3.8,206.833333333333
2015-09-04,50,5,206.833333333333
2015-09-04,50,5.2,NA
2015-09-04,50,5.5,NA
2015-09-04,50,5.8,NA
2015-09-04,50,6,NA
2015-09-04,50,6.2,206.833333333333
2015-09-04,50,8,206.833333333333
2015-09-04,50,9,206.833333333333
2015-09-04,50,9.3,NA
2015-09-07,50,0.1,204.4
2015-09-07,50,0.8,NA
2015-09-07,50,1.6,204.4
2015-09-07,50,2.8,NA
2015-09-07,50,3.8,204.4
2015-09-07,50,5,204.4
2015-09-07,50,5.2,NA
2015-09-07,50,5.5,NA
2015-09-07,50,5.8,NA
2015-09-07,50,6,NA
2015-09-07,50,6.2,204.4
2015-09-07,50,8,204.4
2015-09-07,50,9,204.4
2015-09-07,50,9.3,NA
2015-09-14,50,0.1,181.2
2015-09-14,50,0.8,NA
2015-09-14,50,1.6,181.2
2015-09-14,50,2.8,NA
2015-09-14,50,3.8,181.2
2015-09-14,50,5,181.2
2015-09-14,50,5.2,NA
2015-09-14,50,5.5,NA
2015-09-14,50,5.8,NA
2015-09-14,50,6,NA
2015-09-14,50,6.2,181.2
2015-09-14,50,8,181.2
2015-09-14,50,9,181.2
2015-09-14,50,9.3,NA
2015-09-18,50,0.1,321.15
2015-09-18,50,0.8,NA
2015-09-18,50,1.6,321.15
2015-09-18,50,2.8,NA
2015-09-18,50,3.8,321.15
2015-09-18,50,5,321.15
2015-09-18,50,5.2,NA
2015-09-18,50,5.5,NA
2015-09-18,50,5.8,NA
2015-09-18,50,6,NA
2015-09-18,50,6.2,321.15
2015-09-18,50,8,321.15
2015-09-18,50,9,321.15
2015-09-18,50,9.3,NA
2015-09-21,50,0.1,461.1
2015-09-21,50,0.8,NA
2015-09-21,50,1.6,461.1
2015-09-21,50,2.8,NA
2015-09-21,50,3.8,461.1
2015-09-21,50,5,461.1
2015-09-21,50,5.2,NA
2015-09-21,50,5.5,NA
2015-09-21,50,5.8,NA
2015-09-21,50,6,NA
2015-09-21,50,6.2,461.1
2015-09-21,50,8,461.1
2015-09-21,50,9,461.1
2015-09-21,50,9.3,NA
2015-09-28,50,0.1,148.5
2015-09-28,50,0.8,NA
2015-09-28,50,1.6,148.5
2015-09-28,50,2.8,NA
2015-09-28,50,3.8,148.5
2015-09-28,50,5,148.5
2015-09-28,50,5.2,NA
2015-09-28,50,5.5,NA
2015-09-28,50,5.8,NA
2015-09-28,50,6,NA
2015-09-28,50,6.2,148.5
2015-09-28,50,8,148.5
2015-09-28,50,9,148.5
2015-09-28,50,9.3,NA
2015-10-02,50,0.1,164.25
2015-10-02,50,0.8,NA
2015-10-02,50,1.6,164.25
2015-10-02,50,2.8,NA
2015-10-02,50,3.8,164.25
2015-10-02,50,5,164.25
2015-10-02,50,5.2,NA
2015-10-02,50,5.5,NA
2015-10-02,50,5.8,NA
2015-10-02,50,6,NA
2015-10-02,50,6.2,164.25
2015-10-02,50,8,164.25
2015-10-02,50,9,164.25
2015-10-02,50,9.3,NA
2015-10-05,50,0.1,180
2015-10-05,50,0.8,NA
2015-10-05,50,1.6,180
2015-10-05,50,2.8,NA
2015-10-05,50,3.8,180
2015-10-05,50,5,180
2015-10-05,50,5.2,NA
2015-10-05,50,5.5,NA
2015-10-05,50,5.8,NA
2015-10-05,50,6,NA
2015-10-05,50,6.2,180
2015-10-05,50,8,180
2015-10-05,50,9,180
2015-10-05,50,9.3,NA
2015-10-12,50,0.1,166
2015-10-12,50,0.8,NA
2015-10-12,50,1.6,166
2015-10-12,50,2.8,NA
2015-10-12,50,3.8,166
2015-10-12,50,5,166
2015-10-12,50,5.2,NA
2015-10-12,50,5.5,NA
2015-10-12,50,5.8,NA
2015-10-12,50,6,NA
2015-10-12,50,6.2,166
2015-10-12,50,8,166
2015-10-12,50,9,166
2015-10-12,50,9.3,NA
2015-10-19,50,0.1,152
2015-10-19,50,0.8,NA
2015-10-19,50,1.6,152
2015-10-19,50,2.8,NA
2015-10-19,50,3.8,152
2015-10-19,50,5,152
2015-10-19,50,5.2,NA
2015-10-19,50,5.5,NA
2015-10-19,50,5.8,NA
2015-10-19,50,6,NA
2015-10-19,50,6.2,152
2015-10-19,50,8,152
2015-10-19,50,9,152
2015-10-19,50,9.3,NA
2015-10-23,50,0.1,155.666666666667
2015-10-23,50,0.8,NA
2015-10-23,50,1.6,155.666666666667
2015-10-23,50,2.8,NA
2015-10-23,50,3.8,155.666666666667
2015-10-23,50,5,155.666666666667
2015-10-23,50,5.2,NA
2015-10-23,50,5.5,NA
2015-10-23,50,5.8,NA
2015-10-23,50,6,NA
2015-10-23,50,6.2,155.666666666667
2015-10-23,50,8,155.666666666667
2015-10-23,50,9,155.666666666667
2015-10-23,50,9.3,NA
2015-10-30,50,0.1,159.333333333333
2015-10-30,50,0.8,NA
2015-10-30,50,1.6,159.333333333333
2015-10-30,50,2.8,NA
2015-10-30,50,3.8,159.333333333333
2015-10-30,50,5,159.333333333333
2015-10-30,50,5.2,NA
2015-10-30,50,5.5,NA
2015-10-30,50,5.8,NA
2015-10-30,50,6,NA
2015-10-30,50,6.2,159.333333333333
2015-10-30,50,8,159.333333333333
2015-10-30,50,9,159.333333333333
2015-10-30,50,9.3,NA
2015-12-07,50,0.1,163
2015-12-07,50,0.8,NA
2015-12-07,50,1.6,163
2015-12-07,50,2.8,NA
2015-12-07,50,3.8,163
2015-12-07,50,5,163
2015-12-07,50,5.2,NA
2015-12-07,50,5.5,NA
2015-12-07,50,5.8,NA
2015-12-07,50,6,NA
2015-12-07,50,6.2,163
2015-12-07,50,8,163
2015-12-07,50,9,163
2015-12-07,50,9.3,NA
2016-05-12,50,0.1,167.25
2016-05-12,50,0.8,NA
2016-05-12,50,1.6,167.25
2016-05-12,50,2.8,NA
2016-05-12,50,3.8,167.25
2016-05-12,50,5,167.25
2016-05-12,50,5.2,NA
2016-05-12,50,5.5,NA
2016-05-12,50,5.8,NA
2016-05-12,50,6,NA
2016-05-12,50,6.2,167.25
2016-05-12,50,8,167.25
2016-05-12,50,9,167.25
2016-05-12,50,9.3,NA
2016-05-16,50,0.1,171.5
2016-05-16,50,0.8,NA
2016-05-16,50,1.6,171.5
2016-05-16,50,2.8,NA
2016-05-16,50,3.8,171.5
2016-05-16,50,5,171.5
2016-05-16,50,5.2,NA
2016-05-16,50,5.5,NA
2016-05-16,50,5.8,NA
2016-05-16,50,6,NA
2016-05-16,50,6.2,171.5
2016-05-16,50,8,171.5
2016-05-16,50,9,171.5
2016-05-16,50,9.3,NA
2016-05-19,50,0.1,175.75
2016-05-19,50,0.8,NA
2016-05-19,50,1.6,175.75
2016-05-19,50,2.8,NA
2016-05-19,50,3.8,175.75
2016-05-19,50,5,175.75
2016-05-19,50,5.2,NA
2016-05-19,50,5.5,NA
2016-05-19,50,5.8,NA
2016-05-19,50,6,NA
2016-05-19,50,6.2,175.75
2016-05-19,50,8,175.75
2016-05-19,50,9,175.75
2016-05-19,50,9.3,NA
2016-05-23,50,0.1,180
2016-05-23,50,0.8,NA
2016-05-23,50,1.6,180
2016-05-23,50,2.8,NA
2016-05-23,50,3.8,180
2016-05-23,50,5,180
2016-05-23,50,5.2,NA
2016-05-23,50,5.5,NA
2016-05-23,50,5.8,NA
2016-05-23,50,6,NA
2016-05-23,50,6.2,180
2016-05-23,50,8,180
2016-05-23,50,9,180
2016-05-23,50,9.3,NA
2016-05-26,50,0.1,189.333333333333
2016-05-26,50,0.8,NA
2016-05-26,50,1.6,189.333333333333
2016-05-26,50,2.8,NA
2016-05-26,50,3.8,189.333333333333
2016-05-26,50,5,189.333333333333
2016-05-26,50,5.2,NA
2016-05-26,50,5.5,NA
2016-05-26,50,5.8,NA
2016-05-26,50,6,NA
2016-05-26,50,6.2,189.333333333333
2016-05-26,50,8,189.333333333333
2016-05-26,50,9,189.333333333333
2016-05-26,50,9.3,NA
2016-05-29,50,0.1,198.666666666667
2016-05-29,50,0.8,NA
2016-05-29,50,1.6,198.666666666667
2016-05-29,50,2.8,NA
2016-05-29,50,3.8,198.666666666667
2016-05-29,50,5,198.666666666667
2016-05-29,50,5.2,NA
2016-05-29,50,5.5,NA
2016-05-29,50,5.8,NA
2016-05-29,50,6,NA
2016-05-29,50,6.2,198.666666666667
2016-05-29,50,8,198.666666666667
2016-05-29,50,9,198.666666666667
2016-05-29,50,9.3,NA
2016-05-30,50,0.1,208
2016-05-30,50,0.1,208
2016-05-30,50,0.1,222
2016-05-30,50,0.1,222
2016-05-30,50,0.1,208
2016-05-30,50,0.1,208
2016-05-30,50,0.1,222
2016-05-30,50,0.1,222
2016-05-30,50,0.8,NA
2016-05-30,50,0.8,NA
2016-05-30,50,1.6,208
2016-05-30,50,1.6,208
2016-05-30,50,1.6,222
2016-05-30,50,1.6,222
2016-05-30,50,1.6,208
2016-05-30,50,1.6,208
2016-05-30,50,1.6,222
2016-05-30,50,1.6,222
2016-05-30,50,2.8,NA
2016-05-30,50,2.8,NA
2016-05-30,50,3.8,208
2016-05-30,50,3.8,208
2016-05-30,50,3.8,222
2016-05-30,50,3.8,222
2016-05-30,50,3.8,208
2016-05-30,50,3.8,208
2016-05-30,50,3.8,222
2016-05-30,50,3.8,222
2016-05-30,50,5,208
2016-05-30,50,5,208
2016-05-30,50,5,222
2016-05-30,50,5,222
2016-05-30,50,5,208
2016-05-30,50,5,208
2016-05-30,50,5,222
2016-05-30,50,5,222
2016-05-30,50,5.2,NA
2016-05-30,50,5.2,NA
2016-05-30,50,5.5,NA
2016-05-30,50,5.5,NA
2016-05-30,50,5.8,NA
2016-05-30,50,5.8,NA
2016-05-30,50,6,NA
2016-05-30,50,6,NA
2016-05-30,50,6.2,208
2016-05-30,50,6.2,208
2016-05-30,50,6.2,222
2016-05-30,50,6.2,222
2016-05-30,50,6.2,208
